district,geoid
MA-HD-1st Suffolk,25184
MA-HD-7th Middlesex,25124
MA-HD-11th Essex,25093
MA-HD-17th Essex,25099
MA-HD-16th Essex,25098
MA-HD-9th Plymouth,25180
MA-HD-10th Essex,25092
MA-HD-33rd Middlesex,25150
MA-HD-28th Middlesex,25145
MA-HD-15th Worcester,25217
MA-HD-18th Middlesex,25135
MA-HD-4th Middlesex,25121
MA-HD-11th Bristol,25079
MA-HD-7th Bristol,25075
MA-HD-5th Suffolk,25188
MA-HD-16th Worcester,25218
MA-HD-17th Middlesex,25134
MA-HD-6th Hampden,25107
MA-HD-11th Middlesex,25128
MA-HD-1st Norfolk,25157
MA-HD-31st Middlesex,25148
MA-HD-16th Middlesex,25133
MA-HD-15th Middlesex,25132
MA-HD-9th Hampden,25110
MA-HD-9th Middlesex,25126
MA-HD-6th Bristol,25074
MA-HD-8th Essex,25090
MA-HD-12th Norfolk,25168
MA-HD-19th Suffolk,25202
MA-HD-30th Middlesex,25147
MA-HD-5th Hampden,25106
MA-HD-12th Middlesex,25129
MA-HD-12th Hampden,25113
MA-HD-13th Norfolk,25169
MA-HD-11th Hampden,25112
MA-HD-5th Norfolk,25161
MA-HD-2nd Norfolk,25158
MA-HD-16th Suffolk,25199
MA-HD-2nd Suffolk,25185
MA-HD-14th Worcester,25216
MA-HD-35th Middlesex,25152
MA-HD-7th Norfolk,25163
MA-HD-13th Bristol,25081
MA-HD-14th Norfolk,25170
MA-HD-24th Middlesex,25141
MA-HD-3rd Berkshire,25067
MA-HD-5th Middlesex,25122
MA-HD-3rd Middlesex,25120
MA-HD-10th Suffolk,25193
MA-HD-12th Essex,25094
MA-HD-21st Middlesex,25138
MA-HD-10th Hampden,25111
MA-HD-11th Plymouth,25182
MA-HD-6th Middlesex,25123
MA-HD-6th Norfolk,25162
MA-HD-10th Middlesex,25127
MA-HD-13th Middlesex,25130
MA-HD-12th Worcester,25214
MA-HD-8th Norfolk,25164
MA-HD-8th Bristol,25076
MA-HD-3rd Norfolk,25159
MA-HD-13th Worcester,25215
MA-HD-15th Essex,25097
MA-HD-3rd Essex,25085
MA-HD-15th Norfolk,25171
MA-HD-11th Norfolk,25167
MA-HD-1st Berkshire,25065
MA-HD-10th Bristol,25078
MA-HD-8th Hampden,25109
MA-HD-5th Essex,25087
MA-HD-36th Middlesex,25153
"MA-HD-Barnstable, Dukes & Nantucket",25064
MA-HD-32nd Middlesex,25149
MA-HD-6th Essex,25088
MA-HD-14th Middlesex,25131
MA-HD-17th Suffolk,25200
MA-HD-14th Suffolk,25197
MA-HD-13th Suffolk,25196
MA-HD-9th Bristol,25077
MA-HD-1st Hampshire,25115
MA-HD-6th Suffolk,25189
MA-HD-7th Essex,25089
MA-HD-14th Essex,25096
MA-HD-12th Suffolk,25195
MA-HD-5th Bristol,25073
MA-HD-7th Hampden,25108
MA-HD-26th Middlesex,25143
MA-HD-23rd Middlesex,25140
MA-HD-15th Suffolk,25198
MA-HD-2nd Hampshire,25116
MA-HD-10th Norfolk,25166
MA-HD-4th Norfolk,25160
MA-HD-4th Plymouth,25175
MA-HD-29th Middlesex,25146
MA-HD-8th Middlesex,25125
MA-HD-11th Suffolk,25194
MA-HD-4th Berkshire,25068
MA-HD-37th Middlesex,25154
MA-HD-2nd Berkshire,25066
MA-HD-18th Suffolk,25201
MA-HD-10th Plymouth,25181
MA-HD-7th Suffolk,25190
MA-HD-25th Middlesex,25142
MA-HD-2nd Middlesex,25119
MA-HD-4th Barnstable,25063
MA-HD-3rd Hampshire,25117
MA-HD-9th Suffolk,25192
MA-HD-6th Plymouth,25177
MA-HD-34th Middlesex,25151
MA-HD-4th Worcester,25206
MA-HD-1st Franklin,25100
MA-HD-10th Worcester,25212
MA-HD-3rd Plymouth,25174
MA-HD-8th Suffolk,25191
MA-HD-4th Suffolk,25187
MA-HD-27th Middlesex,25144
MA-HD-3rd Suffolk,25186
MA-HD-17th Worcester,25219
MA-HD-2nd Bristol,25070
MA-HD-3rd Worcester,25205
MA-HD-2nd Hampden,25103
MA-HD-18th Essex,25114
MA-HD-2nd Worcester,25204
MA-HD-4th Hampden,25105
MA-HD-12th Plymouth,25183
MA-HD-19th Middlesex,25136
MA-SD-Second Plymouth & Bristol,25035
MA-SD-Second Middlesex & Norfolk,25015
MA-SD-Second Essex & Middlesex,25018
MA-SD-Hampden,25003
MA-SD-Third Essex,25022
