State,District,D,R,,Comments,June Cook Ratings,Opposition Primary,
AK,AK-01,,Young (i),,,Likely R,August 18 primary,
AL,AL-01,,,,,Safe R,,
AL,AL-02,,,,,Safe R,,
AL,AL-03,,,,,Safe R,,
AL,AL-04,,,,,Safe R,,
AL,AL-05,,,,,Safe R,,
AL,AL-06,,,,,Safe R,,
AL,AL-07,,,,,Safe D,,
AR,AR-01,,,,,Safe R,,
AR,AR-02,,,,,Safe R,,
AR,AR-03,,,,,Safe R,,
AR,AR-04,,,,,Safe R,,
AZ,AZ-01,O'Halleran (i),,,,Lean D,August 4 primary,
AZ,AZ-02,Kirkpatrick (i),,,,Solid D,August 4 primary,
AZ,AZ-03,,,,,Safe D,,
AZ,AZ-04,,,,,Safe R,,
AZ,AZ-05,,,,,Safe R,,
AZ,AZ-06,,Schweikert (i),,,Lean R,August 4 primary,
AZ,AZ-07,,,,,Safe D,,
AZ,AZ-08,,,,,Safe R,,
AZ,AZ-09,,,,,Safe D,,
CA,CA-01,,,,,Safe R,,
CA,CA-02,,,,,Safe D,,
CA,CA-03,,,,,Safe D,,
CA,CA-04,Kennedy,McClintock (i),,,Likely R,,
CA,CA-05,,,,,Safe D,,
CA,CA-06,,,,,Safe D,,
CA,CA-07,Bera (i),Patterson,,,Safe D,,
CA,CA-08,,,,,Safe R,,
CA,CA-09,,,,,Safe D,,
CA,CA-10,Harder (i),Howze,,,Likely D,,
CA,CA-11,,,,,Safe D,,
CA,CA-12,,,,,Safe D,,
CA,CA-13,,,,,Safe D,,
CA,CA-14,,,,,Safe D,,
CA,CA-15,,,,,Safe D,,
CA,CA-16,,,,,Safe D,,
CA,CA-17,,,,,Safe D,,
CA,CA-18,,,,,Safe D,,
CA,CA-19,,,,,Safe D,,
CA,CA-20,,,,,Safe D,,
CA,CA-21,Cox (i),Valadao,,,Toss-Up,,
CA,CA-22,Arballo,Nunes (i),,,Likely R,,
CA,CA-23,,,,,Safe R,,
CA,CA-24,,,,,Safe D,,
CA,CA-25,Smith,Garcia (i),,,Toss-Up,,
CA,CA-26,,,,,Safe D,,
CA,CA-27,,,,,Safe D,,
CA,CA-28,,,,,Safe D,,
CA,CA-29,,,,,Safe D,,
CA,CA-30,,,,,Safe D,,
CA,CA-31,,,,,Safe D,,
CA,CA-32,,,,,Safe D,,
CA,CA-33,,,,,Safe D,,
CA,CA-34,,,,,Safe D,,
CA,CA-35,,,,,Safe D,,
CA,CA-36,,,,,Safe D,,
CA,CA-37,,,,,Safe D,,
CA,CA-38,,,,,Safe D,,
CA,CA-39,Cisneros (i),Kim,,,Likely D,,
CA,CA-40,,,,,Safe D,,
CA,CA-41,,,,,Safe D,,
CA,CA-42,,,,,Safe R,,
CA,CA-43,,,,,Safe D,,
CA,CA-44,,,,,Safe D,,
CA,CA-45,Porter (i),Raths,,,Likely D,,
CA,CA-46,,,,,Safe D,,
CA,CA-47,,,,,Safe D,,
CA,CA-48,Rouda (i),Steel,,,Lean D,,
CA,CA-49,,,,,Safe D,,
CA,CA-50,,,,,Safe R,,
CA,CA-51,,,,,Safe D,,
CA,CA-52,,,,,Safe D,,
CA,CA-53,,,,,Safe D,,
CO,CO-01,,,,,Safe D,,
CO,CO-02,,,,,Safe D,,
CO,CO-03,Bush,Boebert,,,Likely R,,
CO,CO-04,,,,,Safe R,,
CO,CO-05,,,,,Safe R,,
CO,CO-06,Crow (i),House,,,Safe D,,
CO,CO-07,,,,,Safe D,,
CT,CT-01,,,,,Safe D,,
CT,CT-02,,,,,Safe D,,
CT,CT-03,,,,,Safe D,,
CT,CT-04,,,,,Safe D,,
CT,CT-05,,,,,Safe D,,
DE,DE-01,,,,,Safe D,,
FL,FL-01,,,,,Safe R,,
FL,FL-02,,,,,Safe R,,
FL,FL-03,,,,,Safe R,,
FL,FL-04,,,,,Safe R,,
FL,FL-05,,,,,Safe D,,
FL,FL-06,,,,,Safe R,,
FL,FL-07,,,,,Safe D,,
FL,FL-08,,,,,Safe R,,
FL,FL-09,,,,,Safe D,,
FL,FL-10,,,,,Safe D,,
FL,FL-11,,,,,Safe R,,
FL,FL-12,,,,,Safe R,,
FL,FL-13,,,,,Safe D,,
FL,FL-14,,,,,Safe D,,
FL,FL-15,,Spano (i),,,Lean R,August 18 primary,
FL,FL-16,,Buchanan (i),,,Likely R,August 18 primary,
FL,FL-17,,,,,Safe R,,
FL,FL-18,,,,,Safe R,,
FL,FL-19,,,,,Safe R,,
FL,FL-20,,,,,Safe D,,
FL,FL-21,,,,,Safe D,,
FL,FL-22,,,,,Safe D,,
FL,FL-23,,,,,Safe D,,
FL,FL-24,,,,,Safe D,,
FL,FL-25,,,,,Safe R,,
FL,FL-26,Mucarsel-Powell (i),,,,Lean D,August 18 primary,
FL,FL-27,Shalala (i),,,,Likely D,August 18 primary,
GA,GA-01,,,,,Safe R,,
GA,GA-02,,,,,Safe D,,
GA,GA-03,,,,,Safe R,,
GA,GA-04,,,,,Safe D,,
GA,GA-05,,,,,Safe D,,
GA,GA-06,McBath (i),Handel,,,Toss-Up,,
GA,GA-07,,McCornick,,,Toss-Up,August 11 runoff,
GA,GA-08,,,,,Safe R,,
GA,GA-09,,,,,Safe R,,
GA,GA-10,,,,,Safe R,,
GA,GA-11,,,,,Safe R,,
GA,GA-12,,,,,Safe R,,
GA,GA-13,,,,,Safe D,,
GA,GA-14,,,,,Safe R,,
HI,HI-01,,,,,Safe D,,
HI,HI-02,,,,,Safe D,,
IA,IA-01,Finkenauer (i),Hinson,,,Toss-Up,,
IA,IA-02,Hart,Miller-Meeks,,,Toss-Up,,
IA,IA-03,Axne (i),Young,,,Toss-Up,,
IA,IA-04,Scholten,Feenstra,,,Safe R,,
ID,ID-01,,,,,Safe R,,
ID,ID-02,,,,,Safe R,,
IL,IL-01,,,,,Safe D,,
IL,IL-02,,,,,Safe D,,
IL,IL-03,,,,,Safe D,,
