State,PGP Link,Overall blurb,Redistricting blurb,State color
AK,http://gerrymander.princeton.edu/reforms2019/ak/,"Control of the Alaska State House is very competitive, and voters will decide if they want to adopt sweeping electoral reforms, including ranked choice voting. Additionally, there is a State Supreme Court election.","Alaska's state legislative district lines are drawn by an independent commission with appointees from executive, legislative, and judicial leaders. Therefore the 2020 election will not affect the 2021 redistricting process.",yes
AL,http://gerrymander.princeton.edu/reforms2019/al/,"The most competitive election in Alabama will be the Senate race. Doug Jones will face an uphill battle, being the first Democrat in more than 25 years to running for re-election to the Senate from AL. On top of that, there will be 2 State Supreme Court elections and constitutional reform on the ballot. ","Alabama's state legislative and congressional district lines are drawn by the Legislature by statute, and are subject to the Governor's veto.",no
AR,http://gerrymander.princeton.edu/reforms2019/ar/,,"Arkansas' congressional districts are drawn by the Legislature, and are subject to the Governor's veto.  Arkansas' state legislative districts are drawn by an Apportionment Board consisting of the Governor, the Attorney General, and the Secretary of State.",no
AZ,http://gerrymander.princeton.edu/reforms2019/az/,"Arizona is increasingly a competitive state. This is evidenced by the Senate race bewteen former astronaut Mark Kelly (and husband of fmr. Congresswoman Gabby Giffords) against incumbent Martha McSally (and failed 2018 Senate candidate), which has recieved wide national attention. Additionally, the state legislative elections are on knife's edge and electoral and drug reform are also on the ballot.  ",Arizona's state legislative and congressional district lines are drawn by the state's Independent Redistricting Commission. therefore the 2020 election will not affect the 2021 redistricting process.,yes
CA,http://gerrymander.princeton.edu/reforms2019/ca/,,California's state legislative and congressional maps are drawn by an Independent Commission. Therefore the 2020 election will not affect the 2021 redistricting process.,yes
CO,http://gerrymander.princeton.edu/reforms2019/co/,"Corey Gardner won his Senate seat in one of the biggest upsets of 2014, the same year Colorado Governor John Hickenlooper cruised to re-election. The 2020 Senate race, in the national spotlight, will have them facing off. Colorado voters will also decide if they want to join the National Popular Vote compact (circumventing the electoral college). ","Beginning in the 2020 redistricting cycle, Colorado's state legislative and congressional districts will be drawn by two separate independent redistricting commissions. therefore the 2020 election will not affect the 2021 redistricting process.",yes
CT,http://gerrymander.princeton.edu/reforms2019/ct/,,Connecticut's Legislature has the primary responsibility of drawing state legislative and congressional district lines.,no
DE,http://gerrymander.princeton.edu/reforms2019/de/,,"Delaware's legislative lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a three-fifths majority in each chamber.",no
FL,http://gerrymander.princeton.edu/reforms2019/fl/,"Currently Republicans have control of the State Legislature and Governorship, paving the way for them to draw redistricting maps in 2021 that benefit them. However Democrats are in a good positition to gain seats in the FL State House, and possibly prevent  gerrymandering.  These seats on concentrated in the Tampa, Orlando, and Miami areas, also where there will be competitive US House races. ","Florida's congressional district lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.",yes
GA,http://gerrymander.princeton.edu/reforms2019/ga/,,"Georgia's state legislative and congressional district lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetos with a two-thirds vote in each chamber.",yes
HI,http://gerrymander.princeton.edu/reforms2019/hi/,,Hawai'i has a partisan redistricting commission.,no
IA,http://gerrymander.princeton.edu/reforms2019/ia/,"Towards the top of the ticket, the Senate race in Iowa could decide which party has a majority in 2021. This year, three out of four Congressional races in Iowa are competitive.  In addition, control of the state House is very competitive and will come down to a few races. On top of this, voters will decide whether the state will hold a constitutional convention.",Iowa has a redistricting commission consisting of civil servants guided by a bipartisan committee. therefore the 2020 election will not affect the 2021 redistricting process.,yes
ID,http://gerrymander.princeton.edu/reforms2019/id/,,"Idaho's state legislative and congressional districts are drawn by an independent, bipartisan redistricting commission. therefore the 2020 election will not affect the 2021 redistricting process.",no
IL,http://gerrymander.princeton.edu/reforms2019/il/,,"Illinois's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a three-fifths vote in each chamber.",yes
IN,http://gerrymander.princeton.edu/reforms2019/in/,,"Indiana's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a simple majority in each chamber. If the state fails to adopt congressional districts, a backup commission is formed to draw them. ",yes
KS,http://gerrymander.princeton.edu/reforms2019/ks/,"Control of the U.S. Senate comes down to a handful of close races, including the Kansas race. In addition, redistricting in 2021 has the potential to be bipartisan if the Kansas state House loses its Republican supermajority. That will come down to races in the Johnson County and Wichita area. Finally, one Congressional race (KS-02) is competitive.","Kansas's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.",yes
KY,http://gerrymander.princeton.edu/reforms2019/ky/,,"Kentucky's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a simple majority vote in each chamber.",no
LA,http://gerrymander.princeton.edu/reforms2019/la/,,"Louisiana's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.",no
MA,http://gerrymander.princeton.edu/reforms2019/ma/,,"Massachusetts's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.",no
MD,http://gerrymander.princeton.edu/reforms2019/md/,,Maryland's state legislative districts are drawn by either the Governor ot the state Legislature. ,no
