state,district,favored,confidence,redistricting_voter_power,anti_gerrymandering_party,abs_power
TX,TX-HD-112,FALSE,Toss-Up,0.000165853,D,0.000165853
TX,TX-HD-26,R,Tilt,0.000154938,D,0.000154938
TX,TX-HD-66,FALSE,Toss-Up,0.000151342,D,0.000151342
TX,TX-HD-67,FALSE,Toss-Up,0.000144751,D,0.000144751
TX,TX-HD-96,FALSE,Toss-Up,0.000144103,D,0.000144103
TX,TX-HD-92,R,Tilt,0.000140739,D,0.000140739
TX,TX-HD-54,R,Lean,0.00013885,D,0.00013885
TX,TX-HD-134,R,Tilt,0.000127498,D,0.000127498
TX,TX-HD-121,R,Lean,0.000127296,D,0.000127296
TX,TX-HD-108,FALSE,Toss-Up,0.000126672,D,0.000126672
TX,TX-HD-126,R,Likely,0.000118678,D,0.000118678
TX,TX-HD-138,D,Tilt,9.45E-05,D,9.4521E-05
KS,KS-HD-98,FALSE,Toss-Up,9.24E-05,D,9.23879E-05
KS,KS-HD-48,FALSE,Toss-Up,9.23E-05,D,9.22861E-05
TX,TX-HD-132,FALSE,Toss-Up,9.21E-05,D,9.2091E-05
KS,KS-HD-72,D,Tilt,8.80E-05,D,8.79532E-05
TX,TX-HD-97,R,Likely,8.30E-05,D,8.29886E-05
MN,MN-SD-14,FALSE,Toss-Up,-8.29E-05,R,8.28774E-05
MN,MN-SD-58,FALSE,Toss-Up,-8.27E-05,R,8.27173E-05
KS,KS-HD-40,FALSE,Toss-Up,8.14E-05,D,8.13645E-05
KS,KS-HD-15,R,Tilt,8.10E-05,D,8.09921E-05
KS,KS-HD-14,FALSE,Toss-Up,8.01E-05,D,8.00743E-05
TX,TX-HD-93,R,Likely,7.96E-05,D,7.95861E-05
KS,KS-HD-102,D,Tilt,7.82E-05,D,7.8193E-05
MN,MN-SD-05,R,Tilt,-7.33E-05,R,7.33043E-05
MN,MN-SD-56,FALSE,Toss-Up,-7.30E-05,R,7.29785E-05
TX,TX-HD-85,R,Likely,6.94E-05,D,6.94052E-05
KS,KS-HD-17,FALSE,Toss-Up,6.89E-05,D,6.8905E-05
TX,TX-HD-64,R,Likely,6.52E-05,D,6.51574E-05
MN,MN-SD-54,D,Lean,-6.38E-05,R,6.37697E-05
KS,KS-HD-18,D,Lean,6.07E-05,D,6.07089E-05
TX,TX-HD-28,R,Likely,6.05E-05,D,6.05292E-05
MN,MN-SD-20,R,Lean,-6.02E-05,R,6.01585E-05
KS,KS-HD-96,D,Lean,5.76E-05,D,5.76071E-05
KS,KS-HD-16,D,Likely,5.45E-05,D,5.45034E-05
FL,FL-HD-120,R,Lean,5.42E-05,D,5.41981E-05
KS,KS-HD-2,R,Lean,5.28E-05,D,5.27513E-05
KS,KS-HD-23,D,Likely,5.27E-05,D,5.266E-05
KS,KS-HD-3,D,Lean,5.22E-05,D,5.21997E-05
MN,MN-SD-26,R,Tilt,-5.19E-05,R,5.18531E-05
KS,KS-HD-79,R,Lean,5.04E-05,D,5.04359E-05
KS,KS-HD-41,D,Lean,5.03E-05,D,5.03442E-05
CT,CT-HD-119,R,Lean,-5.01E-05,R,5.00591E-05
CT,CT-HD-90,R,Lean,-5.00E-05,R,4.99568E-05
TX,TX-HD-94,R,Likely,4.98E-05,D,4.97833E-05
CT,CT-HD-34,R,Lean,-4.95E-05,R,4.95198E-05
CT,CT-HD-74,R,Lean,-4.91E-05,R,4.91089E-05
KS,KS-HD-49,R,Lean,4.84E-05,D,4.84196E-05
TX,TX-HD-65,D,Lean,4.79E-05,D,4.79371E-05
CT,CT-HD-51,R,Lean,-4.78E-05,R,4.77734E-05
CT,CT-HD-37,R,Tilt,-4.78E-05,R,4.77587E-05
FL,FL-HD-83,R,Lean,4.75E-05,D,4.74745E-05
NC,NC-HD-45,FALSE,Toss-Up,4.69E-05,D,4.68575E-05
KS,KS-HD-39,R,Lean,4.68E-05,D,4.68033E-05
CT,CT-HD-99,R,Tilt,-4.67E-05,R,4.66955E-05
CT,CT-HD-38,R,Tilt,-4.66E-05,R,4.66392E-05
FL,FL-HD-15,R,Tilt,4.65E-05,D,4.65373E-05
TX,TX-HD-135,D,Lean,4.61E-05,D,4.61271E-05
FL,FL-HD-93,R,Tilt,4.60E-05,D,4.59734E-05
NC,NC-HD-74,FALSE,Toss-Up,4.55E-05,D,4.55209E-05
FL,FL-HD-60,R,Tilt,4.47E-05,D,4.46687E-05
FL,FL-HD-28,R,Tilt,4.42E-05,D,4.42393E-05
NC,NC-HD-59,FALSE,Toss-Up,4.39E-05,D,4.38799E-05
CT,CT-HD-23,R,Lean,-4.37E-05,R,4.37433E-05
FL,FL-HD-29,R,Tilt,4.37E-05,D,4.37332E-05
NC,NC-HD-82,FALSE,Toss-Up,4.35E-05,D,4.34807E-05
TX,TX-HD-45,D,Lean,4.32E-05,D,4.32254E-05
TX,TX-HD-32,R,Likely,4.32E-05,D,4.32043E-05
CT,CT-HD-30,FALSE,Toss-Up,-4.32E-05,R,4.3162E-05
FL,FL-HD-21,FALSE,Toss-Up,4.28E-05,D,4.28449E-05
FL,FL-HD-58,R,Likely,4.26E-05,D,4.26477E-05
NC,NC-HD-83,R,Tilt,4.26E-05,D,4.26028E-05
FL,FL-HD-42,R,Lean,4.22E-05,D,4.22246E-05
FL,FL-HD-115,FALSE,Toss-Up,4.22E-05,D,4.22064E-05
CT,CT-HD-106,FALSE,Toss-Up,-4.16E-05,R,4.16255E-05
KS,KS-HD-111,R,Lean,4.16E-05,D,4.15536E-05
MN,MN-SD-48,D,Likely,-4.14E-05,R,4.13792E-05
FL,FL-HD-89,FALSE,Toss-Up,4.07E-05,D,4.07103E-05
FL,FL-HD-119,R,Likely,4.06E-05,D,4.05782E-05
CT,CT-HD-14,R,Likely,-3.99E-05,R,3.98881E-05
TX,TX-HD-47,D,Lean,3.99E-05,D,3.98607E-05
CT,CT-HD-151,R,Likely,-3.95E-05,R,3.94965E-05
KS,KS-HD-26,R,Lean,3.94E-05,D,3.94306E-05
FL,FL-HD-72,FALSE,Toss-Up,3.86E-05,D,3.85998E-05
CT,CT-HD-77,D,Tilt,-3.81E-05,R,3.80555E-05
CT,CT-HD-59,R,Likely,-3.72E-05,R,3.71948E-05
KS,KS-HD-69,R,Tilt,3.72E-05,D,3.7162E-05
CT,CT-HD-35,R,Likely,-3.71E-05,R,3.70939E-05
NC,NC-HD-63,D,Tilt,3.71E-05,D,3.70929E-05
TX,TX-HD-113,D,Lean,3.68E-05,D,3.68446E-05
CT,CT-HD-132,R,Likely,-3.68E-05,R,3.68437E-05
MN,MN-SD-37,D,Likely,-3.68E-05,R,3.6817E-05
CT,CT-HD-103,FALSE,Toss-Up,-3.68E-05,R,3.67777E-05
FL,FL-HD-85,R,Likely,3.68E-05,D,3.67632E-05
NC,NC-HD-20,R,Tilt,3.67E-05,D,3.67272E-05
KS,KS-HD-56,D,Likely,3.62E-05,D,3.61969E-05
NC,NC-HD-43,D,Tilt,3.59E-05,D,3.59138E-05
KS,KS-HD-85,R,Lean,3.59E-05,D,3.58685E-05
NC,NC-HD-9,D,Tilt,3.58E-05,D,3.58244E-05
CT,CT-HD-143,D,Tilt,-3.55E-05,R,3.5533E-05
CT,CT-HD-55,R,Likely,-3.49E-05,R,3.49343E-05
CT,CT-HD-125,R,Likely,-3.48E-05,R,3.48342E-05
CT,CT-HD-17,FALSE,Toss-Up,-3.48E-05,R,3.48102E-05
FL,FL-HD-27,R,Likely,3.47E-05,D,3.46859E-05
FL,FL-HD-105,FALSE,Toss-Up,3.47E-05,D,3.46654E-05
MN,MN-SD-27,D,Lean,-3.46E-05,R,3.45568E-05
FL,FL-HD-118,FALSE,Toss-Up,3.44E-05,D,3.44472E-05
CT,CT-HD-64,FALSE,Toss-Up,-3.43E-05,R,3.43186E-05
NC,NC-HD-98,D,Tilt,3.42E-05,D,3.41589E-05
FL,FL-HD-50,R,Likely,3.38E-05,D,3.37781E-05
FL,FL-HD-57,R,Likely,3.36E-05,D,3.35934E-05
CT,CT-HD-120,FALSE,Toss-Up,-3.36E-05,R,3.35822E-05
CT,CT-HD-111,FALSE,Toss-Up,-3.33E-05,R,3.32946E-05
KS,KS-HD-30,D,Likely,3.29E-05,D,3.29054E-05
FL,FL-HD-59,FALSE,Toss-Up,3.27E-05,D,3.27192E-05
CT,CT-HD-117,R,Likely,-3.23E-05,R,3.22796E-05
MN,MN-SD-11,R,Likely,-3.21E-05,R,3.20829E-05
CT,CT-HD-101,FALSE,Toss-Up,-3.18E-05,R,3.18373E-05
KS,KS-HD-87,R,Tilt,3.13E-05,D,3.13337E-05
KS,KS-HD-28,R,Lean,3.13E-05,D,3.12536E-05
NC,NC-HD-37,D,Tilt,3.13E-05,D,3.12532E-05
TX,TX-HD-89,R,Safe,3.07E-05,D,3.07493E-05
PA,PA-SD-13,R,Likely,-2.99E-05,R,2.98681E-05
TX,TX-HD-102,D,Likely,2.95E-05,D,2.95434E-05
MN,MN-SD-53,D,Likely,-2.93E-05,R,2.92748E-05
TX,TX-HD-23,R,Safe,2.92E-05,D,2.91771E-05
MN,MN-SD-57,D,Likely,-2.90E-05,R,2.90133E-05
NC,NC-HD-1,R,Lean,2.89E-05,D,2.8905E-05
NC,NC-HD-66,R,Lean,2.87E-05,D,2.87038E-05
CT,CT-HD-32,R,Likely,-2.84E-05,R,2.84302E-05
KS,KS-HD-119,R,Lean,2.84E-05,D,2.84058E-05
NC,NC-HD-51,R,Lean,2.80E-05,D,2.79866E-05
FL,FL-HD-32,R,Likely,2.78E-05,D,2.7819E-05
TX,TX-HD-52,D,Likely,2.78E-05,D,2.77614E-05
TX,TX-HD-106,R,Safe,2.61E-05,D,2.60931E-05
FL,FL-HD-26,FALSE,Toss-Up,2.60E-05,D,2.59809E-05
CT,CT-HD-31,D,Tilt,-2.59E-05,R,2.59302E-05
MN,MN-SD-38,R,Lean,-2.48E-05,R,2.47905E-05
CT,CT-HD-36,D,Tilt,-2.46E-05,R,2.45996E-05
TX,TX-HD-150,R,Safe,2.38E-05,D,2.38011E-05
MN,MN-SD-44,D,Likely,-2.24E-05,R,2.23955E-05
NC,NC-HD-24,D,Lean,2.20E-05,D,2.20139E-05
NC,NC-HD-25,D,Lean,2.19E-05,D,2.1882E-05
PA,PA-SD-49,FALSE,Toss-Up,-2.12E-05,R,2.1181E-05
NC,NC-HD-119,D,Lean,2.10E-05,D,2.10226E-05
